,headline,excerpt,share_text
189,imagine someone asking way watch person answer perfectly,,People ask Ritchie the wrong question. Here's the right question we should be asking. 
190,anti abortion protestors learn abortion facts justifiably angry pregnant woman,She says all the things that anti-abortion protesters never stop to consider. Maybe they will now.,
191,anti abortion protestors learn abortion facts justifiably angry pregnant woman,She says all the things that anti-abortion protesters never stop to consider. Maybe they will now.,
192,good reason eat bacon want almost every day week,Videos that matter. Pass 'em on to your friends. ,"Mondays may suck, but that doesn't mean lunch has to.  "
193,seen face made realized evil companies making money,,
194,seen face made realized evil companies making money,,"People don't care about the people they're preying upon, so I'm not surprised they have us all fleeced."
195,celebrity like samuel l jackson puts know going big,,
196,celebrity like samuel l jackson puts know going go big,"Samuel L. Jackson just lit up the internet with song. Join in, maybe?",
197,one ever built resort grand canyon guys first,,
198,usually good use toys help kids fit scientist found right way,,
199,ever wondered love actually looks like suggest take gander women,"Change is happening. And, I'm sorry, but it's frickin' adorable.",They were finally able to marry in their community like they always wanted — and shouldn't everyone have that right?
200,spanking kid might best thing want succeed life,"After looking at 36,000 kids across 88 scientific studies, here's the pro and cons of spanking.",
201,challenge watch see love every time look,"Change is happening. And, I'm sorry, but it's frickin' adorable.",They were finally able to marry in their community like they always wanted — and shouldn't everyone have that right?
202,years ago must real thing ladies,"Change is happening. And, I'm sorry, but it's frickin' adorable.",They were finally able to marry in their community like they always wanted — and shouldn't everyone have that right?
203,brilliant scientist created coolest toy ever kid feel left,,
204,brilliant scientist created coolest toy ever kid feel left,,"There's not a single medical company that makes what these little kids need, but hey, no big deal. Because a guy with a brilliant mind and a big heart has an even better solution. "
205,brilliant scientist created coolest toy ever kid feel left,,Actual toys — the kind you buy at Toys R Us — are total game changers for kids. 
206,really happens women ones charge cash,Awesome stories that matter. Share them with your friends. ,"She couldn't save money, until she found them."
207,tried relate saying brother got filipino nanny pregnant bad idea,,
208,find fastest saddest way shrink child heart literally,,That one fact really got to me. 
209,watch coach locker room speech unlike heard,,
210,really happens women ones charge cash,Awesome stories that matter. Share them with your friends. ,"She couldn't save money, until she found them."
